month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-09,Cantabria,,150.0,DC,"0,54€/kWh 80-200kW ",0.54,ok
2025-09,Cantabria,,50.0,DC,"0,59€/kWh",0.59,ok
2025-09,Cantabria,,50.0,DC,"0,59€/kWh",0.59,ok
2025-09,Cantabria,,43.0,DC,"0,59€/kWh",0.59,ok
2025-09,Cantabria,,22.0,AC,"0,35€/kWh",0.35,ok
2025-09,Cantabria,,50.0,DC,"0,35€/kWh",0.35,ok
2025-09,Cantabria,,22.0,AC,"0,30€/kWh",0.3,ok
2025-09,Cantabria,,22.0,AC,25cent/kWh,,no_kwh
2025-09,Cantabria,,22.0,AC,25cent/kWh,,no_kwh
2025-09,Cantabria,,22.0,AC,0.34€/kWh,0.34,ok
2025-09,Cantabria,,22.0,AC,"0,28€/kWh",0.28,ok
2025-09,Cantabria,,22.0,AC,"0,28€/kWh",0.28,ok
2025-09,Cantabria,,22.0,AC,"0,28€/kWh",0.28,ok
2025-09,Cantabria,,3.7,AC,"0,28€/kWh",0.28,ok
2025-09,Cantabria,,120.0,DC,"0,56€/kWh DC ",0.56,ok
2025-09,Cantabria,,80.0,DC,"0,56€/kWh DC ",0.56,ok
2025-09,Cantabria,,22.0,AC,,,no_kwh
2025-09,Cantabria,,180.0,DC,"0,54€/kWh",0.54,ok
2025-09,Cantabria,,22.0,AC,"0,32€/kWh AC",0.32,ok
2025-09,Cantabria,,22.0,AC,,,no_kwh
2025-09,Cantabria,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Cantabria,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Cantabria,,7.0,AC,,,no_kwh
2025-09,Cantabria,,150.0,DC,"0,50€/kWh 200kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-09,Cantabria,,50.0,DC,"0,50€/kWh 200kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-09,Cantabria,,50.0,DC,"0,50€/kWh 200kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
