month,provincia,band,eur_kWh,lat,lon,operator,power_kW
2025-05,Lugo,AC,0.25,42.34934079386724,-7.869085073164456,,22.0
2025-05,Lugo,DC,0.45,42.34174847076022,-7.8675146566700676,,60.0
2025-05,Lugo,AC,0.45,42.34174847076022,-7.8675146566700676,,22.0
2025-05,Lugo,AC,0.25,42.343440720951264,-7.853330566013597,,22.0
2025-05,Lugo,AC,0.39,42.33810463384944,-7.861894887601011,,11.0
2025-05,Lugo,AC,0.39,42.335566010615395,-7.866799860390387,,22.0
2025-05,Lugo,AC,0.39,42.327365827271905,-7.861712614184967,,22.0
2025-05,Lugo,DC,0.45,42.34055807829074,-7.849644443692284,,100.0
2025-05,Lugo,AC,0.6,42.40887670957463,-7.476162675238385,,22.0
2025-05,Lugo,DC,0.6,42.40887670957463,-7.476162675238385,,180.0
2025-05,Lugo,AC,0.32,42.41468887613871,-7.479013793747299,,22.0
2025-05,Lugo,DC,0.39,42.46058180540595,-7.588591902252574,,90.0
2025-05,Lugo,AC,0.39,42.46058180540595,-7.588591902252574,,7.4
2025-05,Lugo,AC,0.4,42.46305967585383,-7.57836569050761,,22.0
2025-05,Lugo,AC,0.3,42.5292782466812,-7.533234788166851,,7.4
2025-05,Lugo,DC,0.54,42.52864456601779,-7.5320882479724105,,100.0
2025-05,Lugo,DC,0.47,42.52568680434837,-7.527202415507531,,50.0
2025-05,Lugo,DC,0.47,42.52568680434837,-7.527202415507531,,43.0
2025-05,Lugo,DC,0.47,42.52568680434837,-7.527202415507531,,50.0
2025-05,Lugo,DC,0.55,42.51735199472469,-7.505099437520045,,150.0
2025-05,Lugo,DC,0.39,42.519780971688505,-7.513066359608388,,50.0
2025-05,Lugo,DC,0.39,42.519780971688505,-7.513066359608388,,43.0
2025-05,Lugo,DC,0.39,42.519780971688505,-7.513066359608388,,50.0
2025-05,Lugo,DC,0.47,42.61259401918457,-7.765939692485517,,50.0
2025-05,Lugo,DC,0.47,42.61259401918457,-7.765939692485517,,43.0
2025-05,Lugo,DC,0.47,42.61259401918457,-7.765939692485517,,50.0
2025-05,Lugo,DC,0.45,42.71224070130131,-7.765690586281664,,50.0
2025-05,Lugo,DC,0.45,42.71224070130131,-7.765690586281664,,50.0
2025-05,Lugo,DC,0.5,42.7238665516694,-7.7709417553998605,,50.0
2025-05,Lugo,DC,0.5,42.7238665516694,-7.7709417553998605,,50.0
2025-05,Lugo,AC,0.5,42.7238665516694,-7.7709417553998605,,22.0
2025-05,Lugo,AC,0.36,42.90197026578909,-7.464860228762291,,22.0
2025-05,Lugo,DC,0.54,42.73752384781713,-7.437646445457318,,180.0
2025-05,Lugo,AC,0.54,42.73752384781713,-7.437646445457318,,22.0
2025-05,Lugo,DC,0.3,42.782090478470934,-7.414859654653185,,60.0
2025-05,Lugo,DC,0.6,42.92454587177525,-7.368108421370152,,120.0
2025-05,Lugo,DC,0.45,42.81016623624902,-7.1101178121064095,,50.0
2025-05,Lugo,DC,0.45,42.81016623624902,-7.1101178121064095,,50.0
2025-05,Lugo,AC,0.45,42.81016623624902,-7.1101178121064095,,22.0
2025-05,Lugo,AC,0.44,42.754802249993446,-7.242847447684426,,22.0
2025-05,Lugo,AC,0.39,42.47539567357276,-7.275470553339261,,22.0
2025-05,Lugo,AC,0.45,42.37430607121547,-7.417004479240916,,22.0
2025-05,Lugo,DC,0.47,42.473934827136304,-7.264603253351311,,50.0
2025-05,Lugo,DC,0.47,42.473934827136304,-7.264603253351311,,43.0
2025-05,Lugo,DC,0.47,42.473934827136304,-7.264603253351311,,50.0
2025-05,Lugo,DC,0.56,42.3958800658734,-7.106349169011395,,100.0
2025-05,Lugo,DC,0.45,42.40846129606044,-7.072395703362645,,50.0
2025-05,Lugo,DC,0.45,42.40846129606044,-7.072395703362645,,50.0
