month,provincia,band,median_eur_kWh,mean_eur_kWh,n
2025-07,Girona,DC,0.47,0.4825272331154684,459
2025-07,Granada,AC,0.39,0.3764732142857143,224
2025-07,Granada,DC,0.47,0.4836879432624113,423
2025-07,Guadalajara,AC,0.42,0.4105263157894737,133
2025-07,Guadalajara,DC,0.47,0.48407272727272727,275
2025-07,Huelva,AC,0.39,0.3709345794392523,107
2025-07,Huelva,DC,0.48,0.4898347107438017,121
2025-07,Huesca,AC,0.39,0.3842156862745098,204
2025-07,Huesca,DC,0.5,0.4879127725856698,321
2025-07,Illes Balears,AC,0.39,0.38483870967741934,155
2025-07,Illes Balears,DC,0.47,0.4876960784313725,204
2025-07,Jaén,AC,0.45,0.39611111111111114,54
2025-07,Jaén,DC,0.47,0.49795811518324606,191
2025-07,La Rioja,AC,0.39,0.3892537313432836,67
2025-07,La Rioja,DC,0.5,0.4946616541353384,133
2025-07,Las Palmas,AC,0.38,0.3484269662921349,89
2025-07,Las Palmas,DC,0.45,0.47208588957055214,163
2025-07,León,AC,0.39,0.3585849056603773,106
2025-07,León,DC,0.47,0.4870344827586207,145
2025-07,Lleida,AC,0.39,0.4127918781725888,197
2025-07,Lleida,DC,0.47,0.4796526054590571,403
2025-07,Lugo,AC,0.42,0.41854838709677417,62
2025-07,Lugo,DC,0.47,0.4832085561497326,187
2025-07,Madrid,AC,0.4,0.3904431914893617,940
2025-07,Madrid,DC,0.47,0.4830125523012552,1434
2025-07,Murcia,AC,0.39,0.3858359621451104,317
2025-07,Murcia,DC,0.47,0.4635436893203884,618
2025-07,Málaga,AC,0.39,0.3625909090909091,220
2025-07,Málaga,DC,0.47,0.4783152173913044,368
2025-07,Navarra,AC,0.39,0.3851754385964913,228
2025-07,Navarra,DC,0.47,0.4873415132924335,489
2025-07,Ourense,AC,0.39,0.3935897435897436,39
2025-07,Ourense,DC,0.47,0.4656730769230769,104
2025-07,Palencia,AC,0.385,0.35717391304347823,46
2025-07,Palencia,DC,0.47,0.47458333333333336,96
2025-07,Pontevedra,AC,0.39,0.39978494623655914,93
2025-07,Pontevedra,DC,0.47,0.463015873015873,252
2025-07,Salamanca,AC,0.35,0.3481707317073171,82
2025-07,Salamanca,DC,0.47,0.4850724637681159,138
2025-07,Santa Cruz de Tenerife,AC,0.39,0.389468085106383,94
2025-07,Santa Cruz de Tenerife,DC,0.47,0.4970992366412214,131
2025-07,Segovia,AC,0.39,0.38563207547169814,106
2025-07,Segovia,DC,0.5,0.49945544554455445,202
2025-07,Sevilla,AC,0.39,0.39255874673629243,383
2025-07,Sevilla,DC,0.48,0.48862204724409447,508
2025-07,Soria,AC,0.37,0.3574,50
2025-07,Soria,DC,0.47,0.48000000000000004,74
2025-07,Tarragona,AC,0.39,0.38155844155844154,154
2025-07,Tarragona,DC,0.47,0.4782568807339449,327
2025-07,Territorio no asociado a ninguna provincia,AC,0.25,0.25,1
2025-07,Teruel,AC,0.39,0.36416058394160583,137
2025-07,Teruel,DC,0.47,0.47859030837004407,227
2025-07,Toledo,AC,0.42,0.4004651162790697,215
2025-07,Toledo,DC,0.47,0.48560090702947845,441
2025-07,Valencia,AC,0.39,0.3636526946107784,501
2025-07,Valencia,DC,0.47,0.47055115151515153,825
2025-07,Valladolid,AC,0.36,0.3509090909090909,165
2025-07,Valladolid,DC,0.47,0.4860828025477707,314
2025-07,Zamora,AC,0.3,0.33460317460317457,63
2025-07,Zamora,DC,0.47,0.49414893617021277,94
2025-07,Zaragoza,AC,0.39,0.38387755102040816,245
2025-07,Zaragoza,DC,0.49,0.4883177570093458,535
2025-07,Álava,AC,0.37,0.3695833333333333,96
2025-07,Álava,DC,0.47,0.4931506849315068,219
2025-07,Ávila,AC,0.38,0.36670329670329666,91
2025-07,Ávila,DC,0.47,0.4984343434343434,198
