month_str,ccaa,band,eur_kWh
2025-05,Extremadura,AC,0.3102709644049884
2025-05,Extremadura,DC,0.394335039639451
2025-06,Extremadura,AC,0.3676573640161766
2025-06,Extremadura,DC,0.4672695735196681
2025-07,Extremadura,AC,0.3761692223317117
2025-07,Extremadura,DC,0.4780876144301309
2025-08,Extremadura,AC,0.3654607554186192
2025-08,Extremadura,DC,0.4644778210266455
2025-09,Extremadura,AC,0.3824844720496894
2025-09,Extremadura,DC,0.4861139028475711
2025-01,Galicia,AC,0.4663117430470322
2025-01,Galicia,DC,0.540173177168309
2025-02,Galicia,AC,0.4899335386610471
2025-02,Galicia,DC,0.5675365463682048
2025-03,Galicia,AC,0.359576222124447
2025-03,Galicia,DC,0.4165312867095216
2025-04,Galicia,AC,0.3161237832789137
2025-04,Galicia,DC,0.3661962001566273
2025-05,Galicia,AC,0.3295386301708233
2025-05,Galicia,DC,0.3817358913071852
2025-06,Galicia,AC,0.3904886953971083
2025-06,Galicia,DC,0.4523401402303726
2025-07,Galicia,AC,0.3995291356938301
2025-07,Galicia,DC,0.4628125407883574
2025-08,Galicia,AC,0.3881556785463415
2025-08,Galicia,DC,0.4496375852476669
2025-09,Galicia,AC,0.4062365591397849
2025-09,Galicia,DC,0.4705823863636364
2025-01,Illes Balears,AC,0.4417495310654654
2025-01,Illes Balears,DC,0.5598176808411806
2025-02,Illes Balears,AC,0.4641270870481439
2025-02,Illes Balears,DC,0.5881761749926101
2025-03,Illes Balears,AC,0.3406361299585484
2025-03,Illes Balears,DC,0.4316792998606477
2025-04,Illes Balears,AC,0.2994724775953499
2025-04,Illes Balears,DC,0.3795136748166602
2025-05,Illes Balears,AC,0.3121807192645253
2025-05,Illes Balears,DC,0.3956184986557436
2025-06,Illes Balears,AC,0.3699203390223003
2025-06,Illes Balears,DC,0.4687904156637528
2025-07,Illes Balears,AC,0.3784845888428316
2025-07,Illes Balears,DC,0.4796436665118308
2025-08,Illes Balears,AC,0.3677102100363568
2025-08,Illes Balears,DC,0.4659895767352166
2025-09,Illes Balears,AC,0.3848387096774193
2025-09,Illes Balears,DC,0.4876960784313725
2025-01,La Rioja,AC,0.445163092246949
2025-01,La Rioja,DC,0.5640320650873414
2025-02,La Rioja,AC,0.467713567839196
2025-02,La Rioja,DC,0.5926040458703776
2025-03,La Rioja,AC,0.3432683506819813
2025-03,La Rioja,DC,0.4349290408084378
2025-04,La Rioja,AC,0.3017866116295764
2025-04,La Rioja,DC,0.3823707057877911
2025-05,La Rioja,AC,0.3145930545585068
2025-05,La Rioja,DC,0.3985967689485277
2025-06,La Rioja,AC,0.3727788496051686
2025-06,La Rioja,DC,0.4723195341788306
2025-07,La Rioja,AC,0.3814092785355348
2025-07,La Rioja,DC,0.4832544897871531
2025-08,La Rioja,AC,0.3705516421392678
2025-08,La Rioja,DC,0.4694976101508765
2025-09,La Rioja,AC,0.3878125
2025-09,La Rioja,DC,0.4913675213675214
2025-01,Navarra,AC,0.4452045371993718
2025-01,Navarra,DC,0.5597436430271658
2025-02,Navarra,AC,0.4677571122544995
2025-02,Navarra,DC,0.5880983866701931
2025-03,Navarra,AC,0.3433003091724987
2025-03,Navarra,DC,0.4316222087883024
2025-04,Navarra,AC,0.3018147081451651
2025-04,Navarra,DC,0.3794634828276721
2025-05,Navarra,AC,0.3146223433616574
2025-05,Navarra,DC,0.3955661767484036
2025-06,Navarra,AC,0.3728135555409373
2025-06,Navarra,DC,0.4687284165186836
2025-07,Navarra,AC,0.381444787969443
2025-07,Navarra,DC,0.4795802319870026
2025-08,Navarra,AC,0.3705861407206778
2025-08,Navarra,DC,0.4659279480107303
2025-09,Navarra,AC,0.3878486055776892
2025-09,Navarra,DC,0.4876315789473684
2025-01,País Vasco,AC,0.4252965964427603
2025-01,País Vasco,DC,0.5617303286619432
2025-02,País Vasco,AC,0.4468407017034631
2025-02,País Vasco,DC,0.5901857111645182
2025-03,País Vasco,AC,0.327949157857363
2025-03,País Vasco,DC,0.4331541558725303
2025-04,País Vasco,AC,0.2883186432419963
2025-04,País Vasco,DC,0.3808103041085343
2025-05,País Vasco,AC,0.3005535672172102
2025-05,País Vasco,DC,0.3969701509618485
2025-06,País Vasco,AC,0.3561426783219862
2025-06,País Vasco,DC,0.4703920638388629
2025-07,País Vasco,AC,0.3643879531748478
2025-07,País Vasco,DC,0.4812823954139226
2025-08,País Vasco,AC,0.3540148654567317
2025-08,País Vasco,DC,0.4675816556904605
2025-09,País Vasco,AC,0.3705054151624548
2025-09,País Vasco,DC,0.4893623188405797
2025-01,Región de Murcia,AC,0.4421034795827878
2025-01,Región de Murcia,DC,0.5360996331592429
2025-02,Región de Murcia,AC,0.4644989654153119
2025-02,Región de Murcia,DC,0.563256650223595
2025-03,Región de Murcia,AC,0.3409090621173092
2025-03,Región de Murcia,DC,0.4133901486462455
2025-04,Región de Murcia,AC,0.2997124276846416
2025-04,Región de Murcia,DC,0.3634346481204624
2025-05,Región de Murcia,AC,0.31243085173768
2025-05,Región de Murcia,DC,0.3788571516384894
2025-06,Región de Murcia,AC,0.37021673493518
2025-06,Región de Murcia,DC,0.4489289611008294
2025-07,Región de Murcia,AC,0.3787878467970102
2025-07,Región de Murcia,DC,0.4593223873847173
2025-08,Región de Murcia,AC,0.3680048350998691
2025-08,Región de Murcia,DC,0.4462467865759552
2025-09,Región de Murcia,AC,0.3851470588235294
2025-09,Región de Murcia,DC,0.4670336391437308
